Id,Id2,Geography,Pop,Moe
1400000US35001003400,35001003400,"Census Tract 34, Bernalillo County, New Mexico",4743,524
1400000US35001003501,35001003501,"Census Tract 35.01, Bernalillo County, New Mexico",5714,615
1400000US35001003502,35001003502,"Census Tract 35.02, Bernalillo County, New Mexico",5476,436
1400000US35001003600,35001003600,"Census Tract 36, Bernalillo County, New Mexico",6272,596
1400000US35001003707,35001003707,"Census Tract 37.07, Bernalillo County, New Mexico",4256,477
1400000US35001003712,35001003712,"Census Tract 37.12, Bernalillo County, New Mexico",5331,452
1400000US35001003714,35001003714,"Census Tract 37.14, Bernalillo County, New Mexico",7960,673
1400000US35001003715,35001003715,"Census Tract 37.15, Bernalillo County, New Mexico",4107,224
1400000US35001003717,35001003717,"Census Tract 37.17, Bernalillo County, New Mexico",5198,344
1400000US35001003718,35001003718,"Census Tract 37.18, Bernalillo County, New Mexico",2643,254
1400000US35001003719,35001003719,"Census Tract 37.19, Bernalillo County, New Mexico",6192,380
1400000US35001003721,35001003721,"Census Tract 37.21, Bernalillo County, New Mexico",6191,337
1400000US35001003722,35001003722,"Census Tract 37.22, Bernalillo County, New Mexico",6839,612
1400000US35001003723,35001003723,"Census Tract 37.23, Bernalillo County, New Mexico",6037,561
1400000US35001003724,35001003724,"Census Tract 37.24, Bernalillo County, New Mexico",3336,291
1400000US35001003725,35001003725,"Census Tract 37.25, Bernalillo County, New Mexico",4324,455
1400000US35001003726,35001003726,"Census Tract 37.26, Bernalillo County, New Mexico",2390,182
1400000US35001003728,35001003728,"Census Tract 37.28, Bernalillo County, New Mexico",4318,371
1400000US35001003729,35001003729,"Census Tract 37.29, Bernalillo County, New Mexico",1882,165
1400000US35001003730,35001003730,"Census Tract 37.30, Bernalillo County, New Mexico",4707,281
1400000US35001003731,35001003731,"Census Tract 37.31, Bernalillo County, New Mexico",3672,285
1400000US35001003732,35001003732,"Census Tract 37.32, Bernalillo County, New Mexico",7550,521
1400000US35001003733,35001003733,"Census Tract 37.33, Bernalillo County, New Mexico",3505,398
1400000US35001003735,35001003735,"Census Tract 37.35, Bernalillo County, New Mexico",6649,449
1400000US35001003736,35001003736,"Census Tract 37.36, Bernalillo County, New Mexico",2064,244
1400000US35001003737,35001003737,"Census Tract 37.37, Bernalillo County, New Mexico",2732,189
1400000US35001003738,35001003738,"Census Tract 37.38, Bernalillo County, New Mexico",5404,516
1400000US35001003803,35001003803,"Census Tract 38.03, Bernalillo County, New Mexico",3050,429
1400000US35001003804,35001003804,"Census Tract 38.04, Bernalillo County, New Mexico",5874,630
1400000US35001003805,35001003805,"Census Tract 38.05, Bernalillo County, New Mexico",2235,324
1400000US35001003806,35001003806,"Census Tract 38.06, Bernalillo County, New Mexico",3461,473
1400000US35001003807,35001003807,"Census Tract 38.07, Bernalillo County, New Mexico",4259,593
1400000US35001004001,35001004001,"Census Tract 40.01, Bernalillo County, New Mexico",4810,540
1400000US35001004300,35001004300,"Census Tract 43, Bernalillo County, New Mexico",5346,515
1400000US35001004401,35001004401,"Census Tract 44.01, Bernalillo County, New Mexico",3081,414
1400000US35001004402,35001004402,"Census Tract 44.02, Bernalillo County, New Mexico",4431,435
1400000US35001004501,35001004501,"Census Tract 45.01, Bernalillo County, New Mexico",3734,370
1400000US35001004502,35001004502,"Census Tract 45.02, Bernalillo County, New Mexico",3870,554
1400000US35001004602,35001004602,"Census Tract 46.02, Bernalillo County, New Mexico",4306,636
1400000US35001004603,35001004603,"Census Tract 46.03, Bernalillo County, New Mexico",3822,408
1400000US35001004604,35001004604,"Census Tract 46.04, Bernalillo County, New Mexico",5717,431
1400000US35001004712,35001004712,"Census Tract 47.12, Bernalillo County, New Mexico",7004,654
1400000US35001004713,35001004713,"Census Tract 47.13, Bernalillo County, New Mexico",6777,598
1400000US35001004715,35001004715,"Census Tract 47.15, Bernalillo County, New Mexico",5366,650
1400000US35001004716,35001004716,"Census Tract 47.16, Bernalillo County, New Mexico",2269,243
1400000US35001004717,35001004717,"Census Tract 47.17, Bernalillo County, New Mexico",8828,795
1400000US35001004720,35001004720,"Census Tract 47.20, Bernalillo County, New Mexico",3701,255
1400000US35001004722,35001004722,"Census Tract 47.22, Bernalillo County, New Mexico",4772,443
1400000US35001004723,35001004723,"Census Tract 47.23, Bernalillo County, New Mexico",6829,414
1400000US35001004724,35001004724,"Census Tract 47.24, Bernalillo County, New Mexico",2977,236
1400000US35001004725,35001004725,"Census Tract 47.25, Bernalillo County, New Mexico",3694,359
1400000US35001004726,35001004726,"Census Tract 47.26, Bernalillo County, New Mexico",2440,174
1400000US35001004727,35001004727,"Census Tract 47.27, Bernalillo County, New Mexico",1871,146
1400000US35001004728,35001004728,"Census Tract 47.28, Bernalillo County, New Mexico",5035,461
1400000US35001004729,35001004729,"Census Tract 47.29, Bernalillo County, New Mexico",3770,322
1400000US35001004733,35001004733,"Census Tract 47.33, Bernalillo County, New Mexico",7791,679
1400000US35001004734,35001004734,"Census Tract 47.34, Bernalillo County, New Mexico",7266,538
1400000US35001004735,35001004735,"Census Tract 47.35, Bernalillo County, New Mexico",2005,334
1400000US35001004736,35001004736,"Census Tract 47.36, Bernalillo County, New Mexico",1743,377
1400000US35001004737,35001004737,"Census Tract 47.37, Bernalillo County, New Mexico",5844,661
1400000US35001004738,35001004738,"Census Tract 47.38, Bernalillo County, New Mexico",5855,624
1400000US35001004739,35001004739,"Census Tract 47.39, Bernalillo County, New Mexico",6811,452
1400000US35001004740,35001004740,"Census Tract 47.40, Bernalillo County, New Mexico",6858,642
1400000US35001004741,35001004741,"Census Tract 47.41, Bernalillo County, New Mexico",7395,1002
1400000US35001004742,35001004742,"Census Tract 47.42, Bernalillo County, New Mexico",7223,768
1400000US35001004743,35001004743,"Census Tract 47.43, Bernalillo County, New Mexico",3493,196
1400000US35001004744,35001004744,"Census Tract 47.44, Bernalillo County, New Mexico",5671,537
1400000US35001004745,35001004745,"Census Tract 47.45, Bernalillo County, New Mexico",6828,445
